latitude,longitude,nameOfPoint
4.6351481,-74.0699704,punto 1
4.6351467,-74.0699852,punto 2
4.6351467,-74.0700039,punto 3
4.6351414,-74.0700254,punto 4
4.63514,-74.0700495,punto 5
4.6351374,-74.0700696,punto 6
4.6351334,-74.0700857,punto 7
4.635128,-74.0701018,punto 8
4.635124,-74.0701193,punto 9
4.6351213,-74.0701367,punto 10
4.635116,-74.0701514,punto 11
4.6351147,-74.0701702,punto 12
4.635112,-74.070189,punto 13
4.635108,-74.0702078,punto 14
4.6351066,-74.0702279,punto 15
4.6351053,-74.0702493,punto 16
4.6351053,-74.0702721,punto 17
4.6351053,-74.0702929,punto 18
4.6351046,-74.0703144,punto 19
4.635104,-74.0703325,punto 20
4.6351006,-74.0703493,punto 21
4.6350986,-74.070366,punto 22
4.6350953,-74.0703828,punto 23
4.6350926,-74.0703989,punto 24
4.6350939,-74.070415,punto 25
4.6350933,-74.0704304,punto 26
4.6350913,-74.0704458,punto 27
4.6350879,-74.0704592,punto 28
4.6350866,-74.0704733,punto 29
4.6350819,-74.0704874,punto 30
4.6350759,-74.0705008,punto 31
4.6350685,-74.0705142,punto 32
4.6350612,-74.0705249,punto 33
4.6350525,-74.0705363,punto 34
4.6350445,-74.0705464,punto 35
4.6350371,-74.0705565,punto 36
4.6350271,-74.0705652,punto 37
4.6350151,-74.0705746,punto 38
4.6350037,-74.0705833,punto 39
4.634993,-74.070592,punto 40
4.6349803,-74.0706,punto 41
4.6349676,-74.0706054,punto 42
4.6349522,-74.0706101,punto 43
4.6349422,-74.0706182,punto 44
4.6349335,-74.0706275,punto 45
4.6349242,-74.0706376,punto 46
4.6349175,-74.0706483,punto 47
4.6349088,-74.0706597,punto 47
4.6348988,-74.0706711,punto 48
4.6348921,-74.0706832,punto 49
4.6348861,-74.0706959,punto 50
4.6348847,-74.0707087,punto 51
4.6348814,-74.0707228,punto 52
4.6348787,-74.0707362,punto 53
4.6348767,-74.0707496,punto 54
4.6348734,-74.0707623,punto 55
4.6348714,-74.0707771,punto 56
4.6348694,-74.0707925,punto 57
4.634868,-74.0708079,
4.634868,-74.0708079,punto 58
4.6348654,-74.070824,punto 59
4.6348633,-74.0708401,punto 60
4.63486,-74.0708542,punto 61
4.634858,-74.0708703,punto 62
4.6348587,-74.070887,punto 63
4.6348573,-74.0709011,punto 64
4.634854,-74.0709165,punto 65
4.6348506,-74.0709293,punto 66
4.6348453,-74.0709393,punto 67
4.6348386,-74.0709534,punto 68
