latitude,longitude,nameOfPoint
4.6348059,-74.0709233,punto 1
4.6348152,-74.0709145,punto 2
4.6348212,-74.0709038,punto 3
4.6348286,-74.0708924,punto 4
4.6348339,-74.0708783,punto 5
4.63484,-74.0708636,punto 6
4.634846,-74.0708495,punto 7
4.634854,-74.0708354,punto 8
4.634856,-74.0708173,punto 9
4.634858,-74.0707999,punto 10
4.6348593,-74.0707844,punto 11
4.6348613,-74.070769,punto 12
4.6348587,-74.0707543,punto 13
4.6348607,-74.0707395,punto 14
4.6348613,-74.0707201,punto 15
4.6348607,-74.0707026,punto 16
4.63486,-74.0706865,punto 17
4.6348607,-74.0706718,punto 18
4.6348587,-74.0706584,punto 19
4.6348567,-74.0706463,punto 20
4.6348547,-74.0706329,punto 21
4.6348493,-74.0706188,punto 22
4.634844,-74.0706054,punto 23
4.6348366,-74.0705907,punto 24
4.6348299,-74.0705779,punto 25
4.6348199,-74.0705658,punto 26
4.6348085,-74.0705551,punto 27
4.6347972,-74.0705457,punto 28
4.6347831,-74.070535,punto 29
4.6347684,-74.0705263,punto 30
4.6347524,-74.0705189,punto 31
4.6347344,-74.0705129,punto 32
4.6347176,-74.0705082,punto 33
4.6347023,-74.0705028,punto 34
4.6346829,-74.0705015,punto 35
4.6346622,-74.0705042,punto 36
4.6346408,-74.0705068,punto 37
4.6346247,-74.0705095,punto 38
4.634608,-74.0705129,punto 39
4.634592,-74.0705162,punto 40
4.6345826,-74.0705263,punto 41
4.6345706,-74.0705363,punto 42
4.6345546,-74.070541,punto 43
4.6345332,-74.0705437,punto 44
4.6345191,-74.070535,punto 45
4.6345058,-74.0705303,punto 46
4.6344897,-74.0705283,punto 47
4.634479,-74.0705236,punto 48
